filename,artist,title,duration_seconds,cover_path,decided_by
Bring Me The Horizon - Can You Feel My Heart.mp3,Bring Me The Horizon,Can You Feel My Heart,228.192,P:\Web Development\Audora\frontend\public\songs\covers\Bring_Me_The_Horizon_-_Can_You_Feel_My_Heart.jpg,tags
"Chaar Diwaari, Raftaar - Farebi.mp3",Chaar Diwaari/Raftaar,Farebi,234.696,P:\Web Development\Audora\frontend\public\songs\covers\Chaar_Diwaari__Raftaar_-_Farebi.jpg,tags
Coldplay - A Sky Full of Stars.mp3,Coldplay,A Sky Full of Stars,267.912,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_A_Sky_Full_of_Stars.jpg,tags
Coldplay - Adventure of a Lifetime.mp3,Coldplay,Adventure of a Lifetime,263.832,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Adventure_of_a_Lifetime.jpg,tags
Coldplay - Clocks.mp3,Coldplay,Clocks,307.92,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Clocks.jpg,tags
Coldplay - Fix You.mp3,Coldplay,Fix You,295.56,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Fix_You.jpg,tags
Coldplay - Paradise.mp3,Coldplay,Paradise,278.76,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Paradise.jpg,tags
Coldplay - Sparks.mp3,Coldplay,Sparks,227.136,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Sparks.jpg,tags
Coldplay - The Scientist.mp3,Coldplay,The Scientist,309.624,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_The_Scientist.jpg,tags
Coldplay - Viva La Vida.mp3,Coldplay,Viva La Vida,241.536,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Viva_La_Vida.jpg,tags
Coldplay - Yellow.mp3,Coldplay,Yellow,266.808,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay_-_Yellow.jpg,tags
"Coldplay, The Chainsmokers - Something Just Like This - Tokyo Remix.mp3",Coldplay/The Chainsmokers,Something Just Like This - Tokyo Remix,273.024,P:\Web Development\Audora\frontend\public\songs\covers\Coldplay__The_Chainsmokers_-_Something_Just_Like_This_-_Tokyo_Remix.jpg,tags
Darshan Raval - Asal Mein.mp3,Darshan Raval,Asal Mein,224.28,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval_-_Asal_Mein.jpg,tags
Darshan Raval - Hawa Banke.mp3,Darshan Raval,Hawa Banke,172.032,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval_-_Hawa_Banke.jpg,tags
Darshan Raval - Mahiye Jinna Sohna.mp3,Darshan Raval,Mahiye Jinna Sohna,181.296,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval_-_Mahiye_Jinna_Sohna.jpg,tags
Darshan Raval - Mujhe Peene Do.mp3,Darshan Raval,Mujhe Peene Do,196.104,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval_-_Mujhe_Peene_Do.jpg,tags
Darshan Raval - Tera Zikr.mp3,Darshan Raval,Tera Zikr,208.536,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval_-_Tera_Zikr.jpg,tags
"Darshan Raval, Aditya Gadhvi, Hansika Pareek - Sajna.mp3",Darshan Raval/Aditya Gadhvi/Hansika Pareek,Sajna,224.712,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval__Aditya_Gadhvi__Hansika_Pareek_-_Sajna.jpg,tags
"Darshan Raval, Asees Kaur, Lijo George-Dj Chetas, Shabbir Ahmed - Chogada.mp3",Darshan Raval/Asees Kaur/Lijo George-Dj Chetas/Shabbir Ahmed,Chogada,249.768,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval__Asees_Kaur__Lijo_George-Dj_Chetas__Shabbir_Ahmed_-_Chogada.jpg,tags
"Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini - Soni Soni (Lofi Mix).mp3",Darshan Raval/Jonita Gandhi/Rochak Kohli/Gurpreet Saini,Soni Soni (Lofi Mix),231.912,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval__Jonita_Gandhi__Rochak_Kohli__Gurpreet_Saini_-_Soni_Soni__Lofi_Mix_.jpg,tags
"Darshan Raval, Rochak Kohli, Jonita Gandhi, Gurpreet Saini - Preet Re - From 'Dhadak 2'.mp3",Darshan Raval/Rochak Kohli/Jonita Gandhi/Gurpreet Saini,"Preet Re - From ""Dhadak 2""",196.44,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval__Rochak_Kohli__Jonita_Gandhi__Gurpreet_Saini_-_Preet_Re_-_From__Dhadak_2_.jpg,tags
"Darshan Raval, Rochak Kohli, R. D. Burman - Ek Ladki Ko Dekha Toh Aisa Laga - Title Track.mp3",Darshan Raval/Rochak Kohli/R. D. Burman,Ek Ladki Ko Dekha Toh Aisa Laga - Title Track,155.208,P:\Web Development\Audora\frontend\public\songs\covers\Darshan_Raval__Rochak_Kohli__R._D._Burman_-_Ek_Ladki_Ko_Dekha_Toh_Aisa_Laga_-_Title_Track.jpg,tags
Dhanda Nyoliwala - Russian Bandana.mp3,Dhanda Nyoliwala,Russian Bandana,197.184,P:\Web Development\Audora\frontend\public\songs\covers\Dhanda_Nyoliwala_-_Russian_Bandana.jpg,tags
Dhanda Nyoliwala - Tension.mp3,Dhanda Nyoliwala,Tension,143.712,P:\Web Development\Audora\frontend\public\songs\covers\Dhanda_Nyoliwala_-_Tension.jpg,tags
"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi - Vaaste.mp3",Dhvani Bhanushali/Nikhil D'Souza/Tanishk Bagchi,Vaaste,196.08,P:\Web Development\Audora\frontend\public\songs\covers\Dhvani_Bhanushali__Nikhil_D_Souza__Tanishk_Bagchi_-_Vaaste.jpg,tags
Dikshant - Aankhon Se Batana.mp3,Dikshant,Aankhon Se Batana,221.304,P:\Web Development\Audora\frontend\public\songs\covers\Dikshant_-_Aankhon_Se_Batana.jpg,tags
Diljit Dosanjh - Born to Shine.mp3,Diljit Dosanjh,Born to Shine,213.36,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_Born_to_Shine.jpg,tags
Diljit Dosanjh - Clash.mp3,Diljit Dosanjh,Clash,176.424,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_Clash.jpg,tags
Diljit Dosanjh - Don.mp3,Diljit Dosanjh,Don,202.512,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_Don.jpg,tags
Diljit Dosanjh - G.O.A.T..mp3,Diljit Dosanjh,G.O.A.T.,223.68,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_G.O.A.T..jpg,tags
Diljit Dosanjh - Kharku.mp3,Diljit Dosanjh,Kharku,225.048,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_Kharku.jpg,tags
Diljit Dosanjh - Lemonade.mp3,Diljit Dosanjh,Lemonade,166.704,P:\Web Development\Audora\frontend\public\songs\covers\Diljit_Dosanjh_-_Lemonade.jpg,tags
